Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Singtel,Z74,STEL.SI,40986.188,16542.301,38.21,4.88,Telecommunications Services,129
DBS,D05,DBSM.SI,54560.566,15592,8.63,5.78,Banking & Investment Services,125
CapitaLand,C31,CATL.SI,15461.312,6234.764,6.9,3.99,Real Estate,122
SGX,S68,SGXL.SI,8766.035,1022.328,19.34,3.67,Banking & Investment Services,121
CityDev,C09,CTDM.SI,7910.921,3428.725,14.73,1.61,Real Estate,117
OCBC Bank,O39,OCBC.SI,40471.406,12097.662,8.31,5.77,Banking & Investment Services,115
SATS,S58,SATS.SI,3327.207,1979.619,14.76,6.42,Transportation,115
Sembcorp Ind,U96,SCIL.SI,3253.337,9619,13.25,2.75,Utilities,115
UOB,U11,UOBH.SI,34703.18,12556.828,8.13,5.33,Banking & Investment Services,111
SPH,T39,SPRM.SI,2080.844,953.046,10.09,5.38,Cyclical Consumer Services,110
Tuan Sing,T24,TSHS.SI,347.782,310.689,10.36,2.07,Real Estate,106
Global Inv,B73,GLNV.SI,236.166,25.956,11.74,7.3,Collective Investments,106
Del Monte Pac,D03,DMPL.SI,706.868,2679.281,,6.79,Food & Beverages,104
ComfortDelGro,C52,CMDG.SI,3185.076,3905.7,12.01,6.66,Transportation,103
Olam Intl,O32,OLAM.SI,4579.426,32992.723,8.86,5.71,Food & Beverages,102
Yoma Strategic,Z59,YOMA.SI,702.834,129.622,,,Real Estate,102
StarHub,CC3,STAR.SI,2233.83,2330.6,12.02,6.98,Telecommunications Services,101
GuocoLand,F17,GUOC.SI,1786.894,1188.085,6.12,4.64,Real Estate,101
Micro-Mechanics,5DD,MMEC.SI,247.477,61.766,18.44,5.62,Industrial Goods,101
CapitaCom Trust,C61U,CACT.SI,6758.283,416.185,15.36,4.2,Real Estate,100.5
Keppel Corp,BN4,KPLM.SI,11032.58,7906.466,16.66,3.3,Industrial Conglomerates,100
ST Engineering,S63,STEG.SI,10491.584,7868.276,18.24,4.46,Industrial Goods,100
Perennial Hldgs,40S,PERE.SI,1565.236,124.22,408.7,0.21,Real Estate,100
CapitaMall Trust,C38U,CMLT.SI,7491.014,798.31,10.74,4.06,Real Estate,99.5
SIA,C6L,SIAL.SI,11463.543,15975.9,,1.46,Transportation,99
Great Eastern,G07,GELA.SI,9258.121,18631.6,9.22,3.07,Insurance,99
Hong Leong Asia,H22,HLAA.SI,370.169,4104.089,10.74,2.02,Automobiles & Auto Parts,98
Frasers Property,TQ5,FRPL.SI,3598.563,3907.807,8.41,2.93,Real Estate,97
CapitaR China Tr,AU8U,CRCT.SI,1553.047,238.185,8.25,7.8,Real Estate,96.2
Hong Leong Fin,S41,HLSF.SI,1066.405,396.356,6.12,6.3,Banking & Investment Services,96
Sing Inv & Fin,S35,SINV.SI,192.303,87.485,10.03,4.92,Banking & Investment Services,95
SIA Engineering,S59,SIAE.SI,2225.75,994.146,11.47,4.04,Transportation,92
Wilmar Intl,F34,WLIL.SI,26382.012,59423.828,14.78,3.03,Food & Beverages,91
SingPost,S08,SPOS.SI,1729.068,1313.783,24.79,3.55,Transportation,91
Far East HTrust,Q5T,FAEH.SI,1026.448,115.546,16.69,6.02,Real Estate,90.4
Haw Par,H02,HPAR.SI,2198.561,243.987,12.06,3.02,,90
F & N,F99,FRNM.SI,2015.619,1947.256,13.45,3.96,Food & Beverages,90
BHG Retail Reit,BMGU,BHGR.SI,310.789,79.058,6.46,6.34,Real Estate,89.5
Ascendas Reit,A17U,AEMN.SI,11874.379,924.115,20.43,,Real Estate,88.4
Silverlake Axis,5CP,SLVX.SI,647.153,227.522,8.87,7.08,Software & IT Services,88
Keppel DC Reit,AJBU,KEPE.SI,4131.287,194.827,32.98,2.66,Real Estate,87.3
SBS Transit,S61,SBVV.SI,941.832,1445.297,11.58,4.32,Transportation,87
CDL HTrust,J85,CDLT.SI,1277.464,196.872,11.35,6.62,Real Estate,86.9
Frasers L&C Tr,BUOU,FRAE.SI,4124.076,244.032,11.55,5.94,Real Estate,86.5
Jardine C&C,C07,JCYC.SI,8130.01,25908.557,6.62,5.88,Automobiles & Auto Parts,86
UOI,U13,UOIS.SI,415.854,49.318,6.04,2.5,Insurance,86
Geo Energy Res,RE4,GEOE.SI,166.514,377.965,,,Energy - Fossil Fuels,86
MDR,A27,MDRT.SI,90.708,285.691,,4.65,Retailers,86
Mapletree Log Tr,M44U,MAPL.SI,7723.124,490.777,20.03,,Real Estate,85.9
